"filename", "language", "JavaScript", "JSON", "JSON with Comments", "CSS", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"h:\5.Projects\CoreNex UI\client\.eslintrc.cjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"h:\5.Projects\CoreNex UI\client\README.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 9, 31
"h:\5.Projects\CoreNex UI\client\components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"h:\5.Projects\CoreNex UI\client\declaration.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 5, 20
"h:\5.Projects\CoreNex UI\client\firebase.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"h:\5.Projects\CoreNex UI\client\index.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"h:\5.Projects\CoreNex UI\client\package-lock.json", "JSON", 0, 14562, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14563
"h:\5.Projects\CoreNex UI\client\package.json", "JSON", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 1, 92
"h:\5.Projects\CoreNex UI\client\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"h:\5.Projects\CoreNex UI\client\public\vercel.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"h:\5.Projects\CoreNex UI\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"h:\5.Projects\CoreNex UI\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"h:\5.Projects\CoreNex UI\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 99, 0, 116, 10, 225
"h:\5.Projects\CoreNex UI\client\src\Icons\EyeFilledIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"h:\5.Projects\CoreNex UI\client\src\Icons\EyeSlashFilledIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"h:\5.Projects\CoreNex UI\client\src\Icons\GithubIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"h:\5.Projects\CoreNex UI\client\src\Icons\GoogleIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 36
"h:\5.Projects\CoreNex UI\client\src\Icons\LockIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 24
"h:\5.Projects\CoreNex UI\client\src\Icons\Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"h:\5.Projects\CoreNex UI\client\src\Icons\MailIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 20
"h:\5.Projects\CoreNex UI\client\src\Icons\MoonIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"h:\5.Projects\CoreNex UI\client\src\Icons\SunIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"h:\5.Projects\CoreNex UI\client\src\Icons\email.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"h:\5.Projects\CoreNex UI\client\src\Icons\github-mark-white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"h:\5.Projects\CoreNex UI\client\src\Icons\github-mark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"h:\5.Projects\CoreNex UI\client\src\Icons\hamburgerdark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"h:\5.Projects\CoreNex UI\client\src\Icons\hamburgerlight.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"h:\5.Projects\CoreNex UI\client\src\Icons\icons8-tick-100.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
